YEAR,STATE,HFR,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,Cause of death,Cause of death Code,DEATHS,POPULATION,Crude Rate
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,Discharge from other and unspecified firearms,W34,47.0,4430141.0,1.1
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,Intentional self-harm by handgun discharge,X72,94.0,4430141.0,2.1
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,63.0,4430141.0,1.4
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,Intentional self-harm by other and unspecified firearm discharge,X74,278.0,4430141.0,6.3
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,Assault by handgun discharge,X93,37.0,4430141.0,0.8
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,"Assault by rifle, shotgun and larger firearm discharge",X94,29.0,4430141.0,0.7
1999.0,Alabama,0.537,0.036000000000000004,0.0,0.0,0.697916667,0.801742919,Assault by other and unspecified firearm discharge,X95,227.0,4430141.0,5.1
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,Discharge from other and unspecified firearms,W34,33.0,4447100.0,0.7
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,Intentional self-harm by handgun discharge,X72,80.0,4447100.0,1.8
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,38.0,4447100.0,0.9
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,Intentional self-harm by other and unspecified firearm discharge,X74,309.0,4447100.0,6.9
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,Assault by handgun discharge,X93,29.0,4447100.0,0.7
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,"Assault by rifle, shotgun and larger firearm discharge",X94,28.0,4447100.0,0.6
2000.0,Alabama,0.5379999999999999,0.026000000000000002,0.0,0.0,0.616071429,0.760084926,Assault by other and unspecified firearm discharge,X95,237.0,4447100.0,5.3
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,Discharge from other and unspecified firearms,W34,37.0,4467634.0,0.8
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,Intentional self-harm by handgun discharge,X72,65.0,4467634.0,1.5
