YEAR,STATE,HFR,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,cause_of_death,cod_code,DEATHS,POPULATION,Crude Rate
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,Discharge from other and unspecified firearms,W34,47.0,4430141.0,1.1
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,Intentional self-harm by handgun discharge,X72,94.0,4430141.0,2.1
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,63.0,4430141.0,1.4
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,Intentional self-harm by other and unspecified firearm discharge,X74,278.0,4430141.0,6.3
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,Assault by handgun discharge,X93,37.0,4430141.0,0.8
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,"Assault by rifle, shotgun and larger firearm discharge",X94,29.0,4430141.0,0.7
1999.0,AL,0.54,0.04,0.0,0.0,0.7,0.8,Assault by other and unspecified firearm discharge,X95,227.0,4430141.0,5.1
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,Discharge from other and unspecified firearms,W34,33.0,4447100.0,0.7
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,Intentional self-harm by handgun discharge,X72,80.0,4447100.0,1.8
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,38.0,4447100.0,0.9
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,Intentional self-harm by other and unspecified firearm discharge,X74,309.0,4447100.0,6.9
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,Assault by handgun discharge,X93,29.0,4447100.0,0.7
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,"Assault by rifle, shotgun and larger firearm discharge",X94,28.0,4447100.0,0.6
2000.0,AL,0.54,0.03,0.0,0.0,0.62,0.76,Assault by other and unspecified firearm discharge,X95,237.0,4447100.0,5.3
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,Discharge from other and unspecified firearms,W34,37.0,4467634.0,0.8
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,Intentional self-harm by handgun discharge,X72,65.0,4467634.0,1.5
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,54.0,4467634.0,1.2
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,Intentional self-harm by other and unspecified firearm discharge,X74,268.0,4467634.0,6
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,Assault by handgun discharge,X93,32.0,4467634.0,0.7
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,"Assault by rifle, shotgun and larger firearm discharge",X94,34.0,4467634.0,0.8
2001.0,AL,0.52,0.02,0.0,0.0,0.61,0.79,Assault by other and unspecified firearm discharge,X95,236.0,4467634.0,5.3
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,Discharge from other and unspecified firearms,W34,36.0,4480089.0,0.8
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,Intentional self-harm by handgun discharge,X72,56.0,4480089.0,1.2
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,47.0,4480089.0,1
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,Intentional self-harm by other and unspecified firearm discharge,X74,278.0,4480089.0,6.2
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,Assault by handgun discharge,X93,44.0,4480089.0,1
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,"Assault by rifle, shotgun and larger firearm discharge",X94,24.0,4480089.0,0.5
2002.0,AL,0.55,0.02,0.0,0.0,0.57,0.78,Assault by other and unspecified firearm discharge,X95,224.0,4480089.0,5
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,Discharge from other and unspecified firearms,W34,34.0,4503491.0,0.8
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,Intentional self-harm by handgun discharge,X72,54.0,4503491.0,1.2
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,49.0,4503491.0,1.1
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,Intentional self-harm by other and unspecified firearm discharge,X74,296.0,4503491.0,6.6
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,Assault by handgun discharge,X93,36.0,4503491.0,0.8
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,"Assault by rifle, shotgun and larger firearm discharge",X94,26.0,4503491.0,0.6
2003.0,AL,0.5,0.03,0.0,0.0,0.7,0.78,Assault by other and unspecified firearm discharge,X95,260.0,4503491.0,5.8
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,Discharge from other and unspecified firearms,W34,27.0,4530729.0,0.6
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,Intentional self-harm by handgun discharge,X72,53.0,4530729.0,1.2
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,4530729.0,0.9
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,Intentional self-harm by other and unspecified firearm discharge,X74,280.0,4530729.0,6.2
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,Assault by handgun discharge,X93,34.0,4530729.0,0.8
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,"Assault by rifle, shotgun and larger firearm discharge",X94,21.0,4530729.0,0.5
2004.0,AL,0.52,0.02,0.0,0.0,0.58,0.72,Assault by other and unspecified firearm discharge,X95,207.0,4530729.0,4.6
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,Discharge from other and unspecified firearms,W34,34.0,4569805.0,0.7
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,Intentional self-harm by handgun discharge,X72,54.0,4569805.0,1.2
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,45.0,4569805.0,1
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,Intentional self-harm by other and unspecified firearm discharge,X74,270.0,4569805.0,5.9
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,Assault by handgun discharge,X93,30.0,4569805.0,0.7
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,"Assault by rifle, shotgun and larger firearm discharge",X94,24.0,4569805.0,0.5
2005.0,AL,0.48,0.04,0.0,0.0,0.65,0.7,Assault by other and unspecified firearm discharge,X95,265.0,4569805.0,5.8
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,Discharge from other and unspecified firearms,W34,35.0,4628981.0,0.8
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,Intentional self-harm by handgun discharge,X72,43.0,4628981.0,0.9
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,40.0,4628981.0,0.9
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,Intentional self-harm by other and unspecified firearm discharge,X74,317.0,4628981.0,6.8
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,Assault by handgun discharge,X93,26.0,4628981.0,0.6
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,"Assault by rifle, shotgun and larger firearm discharge",X94,32.0,4628981.0,0.7
2006.0,AL,0.47,0.04,0.0,0.0,0.57,0.71,Assault by other and unspecified firearm discharge,X95,275.0,4628981.0,5.9
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,Discharge from other and unspecified firearms,W34,22.0,4672840.0,0.5
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,Intentional self-harm by handgun discharge,X72,57.0,4672840.0,1.2
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,37.0,4672840.0,0.8
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,Intentional self-harm by other and unspecified firearm discharge,X74,302.0,4672840.0,6.5
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,Assault by handgun discharge,X93,37.0,4672840.0,0.8
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,"Assault by rifle, shotgun and larger firearm discharge",X94,22.0,4672840.0,0.5
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,Assault by other and unspecified firearm discharge,X95,319.0,4672840.0,6.8
2007.0,AL,0.48,0.03,0.0,0.0,0.57,0.7,"Other and unspecified firearm discharge, undetermined intent",Y24,12.0,4672840.0,Unreliable
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,Discharge from other and unspecified firearms,W34,29.0,4718206.0,0.6
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,Intentional self-harm by handgun discharge,X72,49.0,4718206.0,1
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,39.0,4718206.0,0.8
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,Intentional self-harm by other and unspecified firearm discharge,X74,336.0,4718206.0,7.1
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,Assault by handgun discharge,X93,31.0,4718206.0,0.7
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,"Assault by rifle, shotgun and larger firearm discharge",X94,21.0,4718206.0,0.4
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,Assault by other and unspecified firearm discharge,X95,297.0,4718206.0,6.3
2008.0,AL,0.5,0.04,0.0,0.0,0.55,0.74,"Other and unspecified firearm discharge, undetermined intent",Y24,13.0,4718206.0,Unreliable
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,Discharge from other and unspecified firearms,W34,27.0,4757938.0,0.6
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,Intentional self-harm by handgun discharge,X72,60.0,4757938.0,1.3
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,46.0,4757938.0,1
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,Intentional self-harm by other and unspecified firearm discharge,X74,373.0,4757938.0,7.8
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,Assault by handgun discharge,X93,28.0,4757938.0,0.6
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,"Assault by rifle, shotgun and larger firearm discharge",X94,18.0,4757938.0,Unreliable
2009.0,AL,0.48,0.03,0.0,0.0,0.56,0.75,Assault by other and unspecified firearm discharge,X95,271.0,4757938.0,5.7
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,Discharge from other and unspecified firearms,W34,33.0,4779736.0,0.7
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,Intentional self-harm by handgun discharge,X72,29.0,4779736.0,0.6
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,30.0,4779736.0,0.6
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,Intentional self-harm by other and unspecified firearm discharge,X74,395.0,4779736.0,8.3
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,Assault by handgun discharge,X93,14.0,4779736.0,Unreliable
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,"Assault by rifle, shotgun and larger firearm discharge",X94,14.0,4779736.0,Unreliable
2010.0,AL,0.46,0.03,0.0,0.0,0.55,0.7,Assault by other and unspecified firearm discharge,X95,255.0,4779736.0,5.3
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,Discharge from other and unspecified firearms,W34,23.0,4802740.0,0.5
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,Intentional self-harm by handgun discharge,X72,38.0,4802740.0,0.8
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,36.0,4802740.0,0.7
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,Intentional self-harm by other and unspecified firearm discharge,X74,378.0,4802740.0,7.9
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,Assault by handgun discharge,X93,15.0,4802740.0,Unreliable
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,"Assault by rifle, shotgun and larger firearm discharge",X94,13.0,4802740.0,Unreliable
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,Assault by other and unspecified firearm discharge,X95,264.0,4802740.0,5.5
2011.0,AL,0.51,0.03,0.0,0.0,0.65,0.7,"Other and unspecified firearm discharge, undetermined intent",Y24,15.0,4802740.0,Unreliable
2012.0,AL,0.54,0.03,0.0,0.0,0.62,0.71,Discharge from other and unspecified firearms,W34,11.0,4822023.0,Unreliable
2012.0,AL,0.54,0.03,0.0,0.0,0.62,0.71,Intentional self-harm by handgun discharge,X72,42.0,4822023.0,0.9
2012.0,AL,0.54,0.03,0.0,0.0,0.62,0.71,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,37.0,4822023.0,0.8
2012.0,AL,0.54,0.03,0.0,0.0,0.62,0.71,Intentional self-harm by other and unspecified firearm discharge,X74,421.0,4822023.0,8.7
2012.0,AL,0.54,0.03,0.0,0.0,0.62,0.71,Assault by other and unspecified firearm discharge,X95,294.0,4822023.0,6.1
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,Discharge from other and unspecified firearms,W34,20.0,4833722.0,0.4
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,Intentional self-harm by handgun discharge,X72,36.0,4833722.0,0.7
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,33.0,4833722.0,0.7
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,Intentional self-harm by other and unspecified firearm discharge,X74,435.0,4833722.0,9
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,Assault by handgun discharge,X93,16.0,4833722.0,Unreliable
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,"Assault by rifle, shotgun and larger firearm discharge",X94,12.0,4833722.0,Unreliable
2013.0,AL,0.52,0.03,0.0,0.0,0.56,0.74,Assault by other and unspecified firearm discharge,X95,289.0,4833722.0,6
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,Discharge from other and unspecified firearms,W34,21.0,4849377.0,0.4
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,Intentional self-harm by handgun discharge,X72,43.0,4849377.0,0.9
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,4849377.0,0.9
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,Intentional self-harm by other and unspecified firearm discharge,X74,394.0,4849377.0,8.1
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,Assault by handgun discharge,X93,14.0,4849377.0,Unreliable
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,"Assault by rifle, shotgun and larger firearm discharge",X94,16.0,4849377.0,Unreliable
2014.0,AL,0.51,0.04,0.0,0.0,0.6,0.69,Assault by other and unspecified firearm discharge,X95,262.0,4849377.0,5.4
